"filename", "language", "Python", "YAML", "JSON", "Shell Script", "pip requirements", "Markdown", "Docker", "comment", "blank", "total"
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\segment\train.py", "Python", -611, 0, 0, 0, 0, 0, 0, -76, -74, -761
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\segment\tutorial.ipynb", "JSON", 0, 0, -595, 0, 0, 0, 0, 0, -1, -596
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\segment\val.py", "Python", -429, 0, 0, 0, 0, 0, 0, -32, -58, -519
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\train.py", "Python", -684, 0, 0, 0, 0, 0, 0, -77, -88, -849
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\tutorial.ipynb", "JSON", 0, 0, -604, 0, 0, 0, 0, 0, -1, -605
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\__init__.py", "Python", -67, 0, 0, 0, 0, 0, 0, -3, -26, -96
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\activations.py", "Python", -92, 0, 0, 0, 0, 0, 0, -5, -30, -127
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\augmentations.py", "Python", -324, 0, 0, 0, 0, 0, 0, -33, -85, -442
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\autoanchor.py", "Python", -126, 0, 0, 0, 0, 0, 0, -18, -28, -172
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\autobatch.py", "Python", -48, 0, 0, 0, 0, 0, 0, -10, -13, -71
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\aws\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\aws\mime.sh", "Shell Script", 0, 0, 0, -15, 0, 0, 0, -6, -6, -27
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\aws\resume.py", "Python", -28, 0, 0, 0, 0, 0, 0, -4, -9, -41
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\aws\userdata.sh", "Shell Script", 0, 0, 0, -20, 0, 0, 0, -6, -2, -28
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\callbacks.py", "Python", -61, 0, 0, 0, 0, 0, 0, -1, -12, -74
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\dataloaders.py", "Python", -1133, 0, 0, 0, 0, 0, 0, -71, -168, -1372
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\docker\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, -16, -36, -22, -74
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\downloads.py", "Python", -109, 0, 0, 0, 0, 0, 0, -5, -23, -137
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\flask_rest_api\README.md", "Markdown", 0, 0, 0, 0, 0, -58, 0, 0, -13, -71
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\flask_rest_api\example_request.py", "Python", -9, 0, 0, 0, 0, 0, 0, -2, -7, -18
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\flask_rest_api\restapi.py", "Python", -31, 0, 0, 0, 0, 0, 0, -5, -14, -50
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\general.py", "Python", -1010, 0, 0, 0, 0, 0, 0, -57, -223, -1290
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\google_app_engine\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, -9, -10, -7, -26
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\google_app_engine\app.yaml", "YAML", 0, -11, 0, 0, 0, 0, 0, 0, -4, -15
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\__init__.py", "Python", -387, 0, 0, 0, 0, 0, 0, -12, -72, -471
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\clearml\README.md", "Markdown", 0, 0, 0, 0, 0, -154, 0, 0, -81, -235
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\clearml\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\clearml\clearml_utils.py", "Python", -178, 0, 0, 0, 0, 0, 0, -15, -36, -229
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\clearml\hpo.py", "Python", -58, 0, 0, 0, 0, 0, 0, -25, -6, -89
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\comet\README.md", "Markdown", 0, 0, 0, 0, 0, -170, 0, 0, -81, -251
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\comet\__init__.py", "Python", -427, 0, 0, 0, 0, 0, 0, -13, -107, -547
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\comet\comet_utils.py", "Python", -112, 0, 0, 0, 0, 0, 0, -2, -36, -150
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\comet\hpo.py", "Python", -100, 0, 0, 0, 0, 0, 0, -3, -22, -125
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\wandb\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loggers\wandb\wandb_utils.py", "Python", -175, 0, 0, 0, 0, 0, 0, -6, -30, -211
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\loss.py", "Python", -185, 0, 0, 0, 0, 0, 0, -27, -43, -255
